what,kind,bundleId,bundleVersion,description,time
activated,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1327882644434
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327882649505
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327882652361
activated,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1327882657159
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327882658250
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327882664961
activated,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1327882666273
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327882667894
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327882669790
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327882680022
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327882683444
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327882690270
opened,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1327882690627
activated,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1327882690671
activated,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1327882700054
activated,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1327882718779
activated,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1327882734976
activated,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1327882736560
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327882738746
activated,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1327882741028
activated,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1327882747373
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327882754460
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327882763591
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327882770890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327882772220
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327882774024
activated,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1327882775967
activated,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1327882787975
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327882790571
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327882791742
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327882792665
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327882794785
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327882978390
activated,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1327882979847
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327882984012
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327882989983
